Source: North Central Climate Adaptation Science Center
--------------------------------
Year             FDSI
--------------------------------
1951             0.49
1952             0.01
1953             0.13
1954            -0.28
1955             0.67
1956            -0.06
1957             0.78
1958             0.73
1959             0.38
1960             0.51
1961            -0.18
1962             0.18
1963            -0.02
1964             0.92
1965            -0.02
1966            -0.31
1967             0.03
1968             0.41
1969             0.70
1970            -0.48
1971             0.01
1972             0.32
1973             0.03
1974             0.40
1975             0.28
1976            -0.09
1977             0.43
1978             0.45
1979             1.05
1980             0.32
1981            -0.56
1982            -0.10
1983             0.35
1984             0.11
1985            -1.08
1986             0.09
1987            -0.24
1988            -0.78
1989             0.07
1990             0.12
1991            -0.73
1992             0.48
1993             1.16
1994            -0.44
1995            -0.58
1996             0.19
1997             0.27
1998            -0.03
1999            -0.67
2000            -0.69
2001            -1.29
2002            -0.62
2003            -0.90
2004            -1.16
2005            -0.88
2006             0.45
2007             0.47
2008            -0.02
2009            -0.59
2010             0.18
2011             0.62
2012            -0.65
2013            -1.04
2014            -1.12
2015            -0.17
2016            -0.93
2017            -1.07
2018            -1.14
2019            -0.81
2020            -0.01
2021            -0.60
2022            -0.54
2023            -0.90
2024            -0.66
2025            -0.55
2026            -1.01
2027             0.01
2028            -0.15
2029            -0.76
2030            -0.90
2031            -1.20
2032            -1.16
2033            -0.66
2034            -0.21
2035            -0.58
2036            -1.46
2037            -1.12
2038            -0.92
2039            -1.41
2040            -1.40
2041            -0.36
2042            -0.77
2043            -1.19
2044            -0.41
2045            -0.41
2046            -1.19
2047            -0.44
2048            -1.44
2049            -1.14
2050            -1.48
2051            -0.69
2052            -1.63
2053            -1.06
2054            -2.08
2055            -0.65
2056            -1.41
2057            -1.00
2058            -1.22
2059            -0.57
2060            -1.35
2061            -0.67
2062            -1.27
2063            -1.15
2064            -1.95
2065            -0.93
2066            -0.75
2067            -1.35
2068            -1.32
2069            -1.23
2070            -1.14
2071            -1.41
2072            -1.40
2073            -2.15
2074            -0.90
2075            -1.59
2076            -1.94
2077            -2.04
2078            -1.64
2079            -1.13
2080            -0.87
2081            -0.34
2082            -2.36
2083            -1.02
2084            -1.26
2085            -0.92
2086            -0.69
2087            -1.00
2088            -1.33
2089            -1.27
2090            -1.75
2091            -1.45
2092            -2.23
2093            -0.90
2094            -2.59
2095            -1.71
2096            -1.92
2097            -2.17
2098            -0.74
2099            -1.53
